DNI         NOMBRE Y APELLIDOS            ASEGURADORA         CÓDIGO       INICIO DE LA POLIZA    FIN DE LA POLIZA     MONTO        EDAD
20539602    SILVIA ORTIZ LOPEZ            Mapfre Peru         NFT560       04/03/2022             16/02/2025           4787.880     67 
16640087    MARIA GONZALEZ MENDOZA        La Positiva         QCK378       04/12/2022             29/11/2023           7487.980     49 
81846049    VICTOR VARGAS MARTINEZ        Protecta Security   PVE667       02/01/2022             23/12/2023           3573.560     36 
68219800    ALBERTO MENDOZA MEDINA        Rimac Seguros       GIT758       29/09/2024             28/03/2025           5732.910     53 
57308728    RAUL FLORES FLORES            Mapfre Peru         IPO790       05/07/2023             01/01/2024           6563.540     61 
17193721    MIGUEL HERRERA TORRES         La Positiva         UFG874       14/07/2023             28/06/2026           4634.390     39 
63721102    MIGUEL DIAZ LOPEZ             Mapfre Peru         KLA256       13/09/2024             12/03/2025           4703.110     63 
69988166    MANUEL AGUILAR JIMENEZ        Protecta Security   PDE696       25/08/2025             15/08/2027           3356.970     24 
44002168    ROSA GARCIA RAMIREZ           Mapfre Peru         TVJ361       06/06/2024             27/05/2026           7926.350     41 
86675408    MANUEL SANCHEZ VEGA           Insur Vida          KBM659       07/05/2024             22/04/2027           6900.810     26 
41603826    VALERIA LOPEZ CHAVEZ          Protecta Security   OLG281       31/01/2024             29/07/2024           12025.610    71 
69089926    JOSE PEREZ AGUILAR            Interseguro         KID991       22/08/2026             18/02/2027           14826.360    20 
53118567    ANDRES RAMIREZ CHAVEZ         Insur Vida          CVS348       28/06/2026             25/12/2026           1188.540     74 
52832552    TERESA ROJAS GARCIA           Mapfre Peru         YAN496       30/10/2025             14/10/2028           1137.540     57 
55074494    LUCIA VARGAS NUNEZ            Pacifico Seguros    DAX872       11/02/2025             06/02/2026           12195.250    74 
31819682    JORGE MEDINA CHAVEZ           Mapfre Peru         YWO149       12/10/2023             26/09/2026           13479.480    37 
51368738    LUCIA HERRERA RODRIGUEZ       Interseguro         BYO919       12/09/2024             02/09/2026           1466.470     29 
57715726    ALBERTO ORTIZ ROJAS           Protecta Security   TYR515       27/01/2022             22/01/2023           1649.490     60 
16830943    CLAUDIA CRUZ TORRES           Mapfre Peru         OYJ668       25/09/2022             14/09/2024           1326.870     69 
76826106    ANA RUIZ LOPEZ                Sanitas Peru        QTX930       29/01/2024             13/01/2027           4660.430     51 
24405093    MANUEL CHAVEZ SILVA           Interseguro         VVB247       04/10/2024             19/09/2027           8657.170     50 
58046906    TERESA MEDINA ROJAS           Pacifico Seguros    DLE098       25/04/2022             09/04/2025           10182.410    43 
86325277    MARIA AGUILAR CRUZ            La Positiva         ETE852       20/01/2025             19/07/2025           1628.640     32 
32940211    GABRIELA GONZALEZ GONZALEZ    Rimac Seguros       THN846       24/05/2025             14/05/2027           5439.760     40 
13225091    JORGE AGUILAR RAMIREZ         Insur Vida          YJL417       30/08/2022             25/08/2023           6283.530     39 
34886559    SOFIA GONZALEZ CRUZ           Insur Vida          BLQ681       26/11/2025             25/05/2026           14149.190    61 
23932534    ALBERTO CHAVEZ JIMENEZ        Rimac Seguros       KCS923       08/12/2023             05/06/2024           10843.550    47 
36162108    MANUEL ROJAS AGUILAR          La Positiva         RLG566       19/01/2022             14/01/2023           3903.350     22 
10426636    RAUL SILVA ROJAS              Insur Vida          VUB122       20/12/2023             09/12/2025           854.050      56 
16989125    CLAUDIA NUNEZ CHAVEZ          La Positiva         OOQ302       19/07/2025             14/07/2026           932.370      63 
61421551    ELENA FLORES RUIZ             Interseguro         QTP215       20/07/2026             09/07/2028           13659.130    67 
82162101    JUAN GARCIA CASTILLO          Pacifico Seguros    DHZ740       23/05/2025             18/05/2026           5288.040     71 
99031051    MARIA CHAVEZ DIAZ             La Positiva         HVQ917       22/06/2023             06/06/2026           12938.730    34 
14248242    ROSA TORRES TORRES            Rimac Seguros       ZFP278       27/02/2025             22/02/2026           12434.400    67 
80086539    CLAUDIA REYES GARCIA          Interseguro         YBH680       05/03/2022             23/02/2024           615.100      41 
26277653    LUCIA GARCIA ORTIZ            Sanitas Peru        VHB449       05/02/2025             26/01/2027           6564.780     24 
57796063    PATRICIA SILVA JIMENEZ        Interseguro         KEH439       05/08/2025             26/07/2027           3981.600     73 
74643267    ELENA CRUZ PEREZ              La Positiva         REP670       19/01/2024             03/01/2027           4912.320     51 
22614448    TERESA VEGA LOPEZ             Mapfre Peru         GJN432       23/06/2026             18/06/2027           10485.600    36 
84869574    CLAUDIA CASTILLO ORTIZ        Rimac Seguros       SQZ694       25/06/2026             09/06/2029           12826.240    67 
87631366    MARIA MENDOZA RODRIGUEZ       La Positiva         AAX074       01/09/2024             22/08/2026           9615.760     67 
53326457    LUIS RUIZ MEDINA              Sanitas Peru        SPX139       03/06/2026             23/05/2028           7439.630     19 
90025311    MIGUEL RODRIGUEZ GARCIA       Sanitas Peru        GAN056       12/06/2025             07/06/2026           12130.690    44 
42461693    CARLOS HERRERA DIAZ           Rimac Seguros       NXP101       16/07/2024             12/01/2025           4389.470     62 
22642181    SILVIA HERRERA RAMIREZ        Interseguro         ZFA879       13/11/2023             07/11/2024           4272.730     65 
54451045    TERESA ORTIZ TORRES           La Positiva         RME209       20/03/2026             09/03/2028           4947.500     47 
83843584    PEDRO NUNEZ CASTILLO          Interseguro         QXD099       10/03/2026             05/03/2027           2233.010     62 
20131846    MONICA SANCHEZ ROJAS          Pacifico Seguros    BBS059       07/08/2026             27/07/2028           6576.240     31 
12144955    ALBERTO SANCHEZ JIMENEZ       Pacifico Seguros    ZMU130       28/08/2025             18/08/2027           7202.620     67 
63098048    SOFIA PEREZ ROJAS             Interseguro         DLM386       30/12/2025             28/06/2026           164.180      25 
15868909    SOFIA MORALES CHAVEZ          Mapfre Peru         CUI382       22/02/2025             21/08/2025           8243.790     50 
92923974    ANA ROJAS PEREZ               Sanitas Peru        DXX972       14/09/2024             04/09/2026           8659.720     61 
98816697    VICTOR NUNEZ GONZALEZ         La Positiva         MEJ008       11/09/2023             31/08/2025           2333.000     22 
89218848    PATRICIA RODRIGUEZ GOMEZ      Protecta Security   FJQ405       26/01/2023             10/01/2026           2046.770     44 
89313068    JUAN MEDINA CHAVEZ            Interseguro         NCH674       09/06/2024             30/05/2026           1984.130     70 
42343430    RICARDO SANCHEZ REYES         Sanitas Peru        LTO523       15/01/2025             31/12/2027           11562.660    37 
37183975    MARIA GONZALEZ HERRERA        Interseguro         DZQ740       20/12/2024             05/12/2027           13279.630    22 
67507078    SOFIA MEDINA VARGAS           Pacifico Seguros    ZRK831       24/01/2023             13/01/2025           11460.220    32 
64628605    DIEGO MORALES DIAZ            Sanitas Peru        GIP931       16/12/2024             01/12/2027           3692.430     47 
32974965    CLAUDIA LOPEZ GARCIA          Interseguro         EXB064       26/03/2024             22/09/2024           749.920      42 
68290847    JUAN VEGA SILVA               Pacifico Seguros    OCV894       29/12/2022             18/12/2024           10638.380    69 
85583258    LUCIA CASTILLO CHAVEZ         Mapfre Peru         WBI268       11/07/2022             06/07/2023           11324.840    45 
52535185    JORGE DIAZ CRUZ               Protecta Security   XYU883       23/04/2024             20/10/2024           4800.440     54 
41292023    LUIS JIMENEZ NUNEZ            Interseguro         IFA925       05/04/2022             02/10/2022           10503.000    50 
90178507    ANA CASTILLO CHAVEZ           Protecta Security   HDP815       23/08/2024             08/08/2027           8272.440     35 
60846127    RICARDO VARGAS CHAVEZ         Insur Vida          FJN633       03/09/2025             18/08/2028           10397.680    18 
81986505    ALBERTO RAMIREZ ROJAS         Sanitas Peru        WIP926       05/06/2024             26/05/2026           10083.430    48 
92711166    PATRICIA SANCHEZ GONZALEZ     Interseguro         HPC726       26/09/2023             20/09/2024           7560.460     71 
79478977    RAUL CHAVEZ MENDOZA           Pacifico Seguros    WNC536       12/05/2024             27/04/2027           14600.790    66 
86010798    PEDRO TORRES SANCHEZ          Protecta Security   RVL283       27/01/2026             26/07/2026           8230.400     18 
69988054    PEDRO RIVERA CRUZ             Insur Vida          MSE523       10/01/2025             05/01/2026           2260.050     65 
82887422    MIGUEL ORTIZ DIAZ             Mapfre Peru         DXH367       18/01/2025             08/01/2027           1626.700     29 
39418843    FERNANDO HERRERA SANCHEZ      Insur Vida          RXF536       10/05/2026             29/04/2028           10039.470    61 
46630266    JUAN RODRIGUEZ AGUILAR        La Positiva         CYP355       14/06/2025             09/06/2026           7523.520     24 
70290920    MIGUEL GONZALEZ MARTINEZ      La Positiva         RIY391       20/03/2022             09/03/2024           4584.110     43 
26617248    VALERIA ORTIZ HERRERA         Insur Vida          EKS564       02/08/2024             23/07/2026           14644.870    23 
13243800    PATRICIA RUIZ VARGAS          La Positiva         VDZ318       17/08/2026             06/08/2028           4636.860     47 
48546784    LUIS GARCIA RODRIGUEZ         Rimac Seguros       PZR324       11/11/2024             10/05/2025           12307.220    64 
14561194    JOSE ROJAS ROJAS              Sanitas Peru        SHG229       05/10/2025             30/09/2026           11104.670    29 
19016173    CARLOS RODRIGUEZ MARTINEZ     Rimac Seguros       GTI961       12/07/2022             08/01/2023           11700.040    59 
69946240    MARIA ORTIZ GONZALEZ          Interseguro         OMK494       12/08/2026             08/02/2027           13942.160    69 
10301283    ELENA HERRERA MENDOZA         Insur Vida          OTM601       30/09/2022             19/09/2024           4681.780     27 
96860454    VALERIA MENDOZA RIVERA        Mapfre Peru         KQV710       23/08/2026             18/08/2027           2137.190     27 
28547498    CARMEN PEREZ VEGA             Sanitas Peru        UFU023       05/03/2023             17/02/2026           6474.590     63 
48935881    SILVIA ORTIZ JIMENEZ          La Positiva         TVC825       07/06/2024             23/05/2027           4818.320     64 
72576734    PEDRO AGUILAR MENDOZA         Mapfre Peru         PWK153       27/02/2023             26/08/2023           12881.280    64 
87233047    LUCIA MEDINA VARGAS           Insur Vida          KAP523       19/08/2025             14/08/2026           13013.230    49 
43638082    PEDRO HERRERA TORRES          Interseguro         FLD155       20/06/2022             15/06/2023           3444.930     45 
56571579    MONICA PEREZ CRUZ             Mapfre Peru         OBC469       29/06/2024             26/12/2024           4242.270     19 
63678997    RICARDO SANCHEZ PEREZ         Rimac Seguros       JXK316       01/01/2025             17/12/2027           13126.480    66 
90760138    PEDRO TORRES HERRERA          Pacifico Seguros    FXJ916       04/09/2023             24/08/2025           206.690      70 
31346477    ALBERTO RAMIREZ GOMEZ         Sanitas Peru        MGE543       12/07/2022             01/07/2024           8157.750     32 
12644033    MIGUEL RODRIGUEZ SILVA        Pacifico Seguros    ZNS442       26/09/2022             21/09/2023           9002.370     34 
82736163    BEATRIZ LOPEZ VEGA            Interseguro         QKR148       09/03/2024             22/02/2027           13343.100    29 
21035018    CARLOS GARCIA GOMEZ           Insur Vida          DYL906       30/06/2024             20/06/2026           13900.310    31 
41493707    MARIA LOPEZ REYES             Insur Vida          BBO454       16/12/2025             14/06/2026           3624.100     55 
34144535    VICTOR AGUILAR ROJAS          Sanitas Peru        GHU879       29/07/2024             19/07/2026           12022.970    32 
50532750    RAUL CASTILLO RODRIGUEZ       Rimac Seguros       JFW273       07/02/2026             28/01/2028           11639.740    18 
64428620    CARMEN NUNEZ RAMIREZ          Insur Vida          NKJ678       11/02/2023             10/08/2023           13076.150    42 
22184401    MIGUEL VEGA SANCHEZ           La Positiva         XAU278       01/07/2026             15/06/2029           9694.920     19 
22184724    RICARDO GONZALEZ SILVA        Mapfre Peru         GWE620       14/12/2022             12/06/2023           14612.780    20 
40342565    PEDRO TORRES VEGA             Protecta Security   KQW216       19/11/2025             14/11/2026           7621.250     37 
95696566    BEATRIZ MEDINA RIVERA         Protecta Security   RRG278       09/08/2022             05/02/2023           1083.090     43 
89108350    SILVIA LOPEZ MORALES          Interseguro         JGX272       02/03/2024             25/02/2025           14612.190    23 
22543771    MANUEL MORALES GOMEZ          Sanitas Peru        LHV367       26/07/2026             22/01/2027           7702.250     69 
43895539    BEATRIZ MENDOZA SILVA         La Positiva         UZN941       18/09/2023             12/09/2024           1891.230     72 
90368666    MANUEL RUIZ MORALES           Mapfre Peru         SYC540       18/08/2024             14/02/2025           2429.870     44 
45028201    CARMEN REYES CASTILLO         Pacifico Seguros    EYO003       13/06/2026             08/06/2027           1966.040     68 
59154305    DIEGO ORTIZ AGUILAR           La Positiva         VQJ288       24/06/2024             19/06/2025           8955.840     48 
99838859    ALBERTO CASTILLO SILVA        Sanitas Peru        ADS737       23/04/2022             07/04/2025           14760.380    47 
51299618    RAUL VARGAS NUNEZ             La Positiva         OWK550       27/09/2024             12/09/2027           9465.870     38 
25265981    ROSA REYES RIVERA             La Positiva         OMI806       10/04/2026             25/03/2029           12242.170    41 
79778765    JORGE GARCIA ROJAS            Protecta Security   CNR244       21/09/2025             20/03/2026           1078.190     69 
35953134    ROSA VEGA SILVA               Interseguro         XVZ946       30/12/2025             14/12/2028           9783.860     38 
73987448    LUCIA GOMEZ GONZALEZ          Pacifico Seguros    DZX121       13/04/2025             28/03/2028           10557.710    35 
14580224    TERESA SANCHEZ ORTIZ          Pacifico Seguros    JVV346       31/01/2022             30/07/2022           14086.380    65 
98408611    VICTOR CHAVEZ MEDINA          Rimac Seguros       XUK483       14/05/2024             04/05/2026           4301.990     38 
92219449    CLAUDIA MENDOZA CRUZ          Protecta Security   XPI739       03/02/2023             29/01/2024           12264.630    70 
