NOMBRE Y APELLIDOS            EDAD    ESTADO           DIAS                     
Patricia Ruiz Martinez        47      Poliza vigente   180 dias para vencer
Alberto Castillo Perez        44      Poliza vigente   352 dias para vencer
Ricardo Chavez Mendoza        36      Poliza vencida   1275 dias vencida
Pedro Reyes Rojas             45      Poliza vigente   46 dias para vencer
Raul Sanchez Martinez         42      Poliza vencida   764 dias vencida
Ana Jimenez Reyes             41      Poliza vencida   590 dias vencida
Silvia Silva Nunez            70      Poliza vencida   71 dias vencida
Raul Castillo Castillo        54      Poliza vigente   145 dias para vencer
Lucia Gonzalez Vargas         69      Poliza vigente   20 dias para vencer
Silvia Jimenez Sanchez        70      Poliza vigente   177 dias para vencer
Teresa Perez Torres           32      Poliza vencida   209 dias vencida
Fernando Garcia Jimenez       23      Poliza vencida   49 dias vencida
Raul Castillo Torres          50      Poliza vencida   339 dias vencida
Ricardo Castillo Chavez       36      Poliza vigente   542 dias para vencer
Monica Lopez Gomez            60      Poliza vigente   819 dias para vencer
Rosa Ruiz Silva               44      Poliza vigente   479 dias para vencer
Juan Aguilar Chavez           41      Poliza vencida   674 dias vencida
Beatriz Cruz Lopez            62      Poliza vencida   328 dias vencida
Patricia Rojas Ramirez        73      Poliza vencida   124 dias vencida
Teresa Herrera Ortiz          75      Poliza vencida   281 dias vencida
Juan Silva Flores             48      Poliza vencida   704 dias vencida
Lucia Herrera Ramirez         28      Poliza vencida   569 dias vencida
Raul Diaz Vega                68      Poliza vencida   90 dias vencida
Luis Rojas Rojas              65      Poliza vencida   166 dias vencida
Silvia Rojas Aguilar          46      Poliza vencida   1220 dias vencida
Luis Rodriguez Ortiz          62      Poliza vigente   88 dias para vencer
Claudia Mendoza Vega          39      Poliza vigente   586 dias para vencer
Lucia Chavez Chavez           62      Poliza vencida   828 dias vencida
Ricardo Herrera Herrera       75      Poliza vigente   118 dias para vencer
Sofia Gonzalez Chavez         69      Poliza vigente   419 dias para vencer
Diego Nunez Garcia            65      Poliza vencida   1054 dias vencida
Raul Reyes Ortiz              49      Poliza vigente   274 dias para vencer
Lucia Vega Ramirez            40      Poliza vigente   525 dias para vencer
Beatriz Aguilar Garcia        66      Poliza vencida   693 dias vencida
Jose Martinez Flores          53      Poliza vencida   538 dias vencida
Pedro Herrera Ortiz           65      Poliza vencida   917 dias vencida
Andres Gonzalez Sanchez       21      Poliza vencida   682 dias vencida
Lucia Medina Aguilar          59      Poliza vencida   816 dias vencida
Juan Flores Ramirez           60      Poliza vencida   536 dias vencida
Rosa Ortiz Silva              74      Poliza vigente   1050 dias para vencer
Fernando Mendoza Garcia       68      Poliza vencida   158 dias vencida
Silvia Ortiz Lopez            67      Poliza vencida   561 dias vencida
Maria Gonzalez Mendoza        49      Poliza vencida   1006 dias vencida
Victor Vargas Martinez        36      Poliza vencida   982 dias vencida
Alberto Mendoza Medina        53      Poliza vencida   521 dias vencida
Raul Flores Flores            61      Poliza vencida   972 dias vencida
Miguel Herrera Torres         39      Poliza vencida   64 dias vencida
Miguel Diaz Lopez             63      Poliza vencida   537 dias vencida
Manuel Aguilar Jimenez        24      Poliza vigente   349 dias para vencer
Rosa Garcia Ramirez           41      Poliza vencida   96 dias vencida
Manuel Sanchez Vega           26      Poliza vigente   234 dias para vencer
Valeria Lopez Chavez          71      Poliza vencida   763 dias vencida
Jose Perez Aguilar            20      Poliza vigente   171 dias para vencer
Andres Ramirez Chavez         74      Poliza vigente   116 dias para vencer
Teresa Rojas Garcia           57      Poliza vigente   776 dias para vencer
Lucia Vargas Nunez            74      Poliza vencida   206 dias vencida
Jorge Medina Chavez           37      Poliza vigente   26 dias para vencer
Lucia Herrera Rodriguez       29      Poliza vigente   2 dias para vencer
Alberto Ortiz Rojas           60      Poliza vencida   1317 dias vencida
Claudia Cruz Torres           69      Poliza vencida   716 dias vencida
Ana Ruiz Lopez                51      Poliza vigente   135 dias para vencer
Manuel Chavez Silva           50      Poliza vigente   384 dias para vencer
Teresa Medina Rojas           43      Poliza vencida   509 dias vencida
Maria Aguilar Cruz            32      Poliza vencida   408 dias vencida
Gabriela Gonzalez Gonzalez    40      Poliza vigente   256 dias para vencer
Jorge Aguilar Ramirez         39      Poliza vencida   1102 dias vencida
Sofia Gonzalez Cruz           61      Poliza vencida   98 dias vencida
Alberto Chavez Jimenez        47      Poliza vencida   817 dias vencida
Manuel Rojas Aguilar          22      Poliza vencida   1325 dias vencida
Raul Silva Rojas              56      Poliza vencida   265 dias vencida
Claudia Nunez Chavez          63      Poliza vencida   48 dias vencida
Elena Flores Ruiz             67      Poliza vigente   678 dias para vencer
Juan Garcia Castillo          71      Poliza vencida   105 dias vencida
Maria Chavez Diaz             34      Poliza vencida   86 dias vencida
Rosa Torres Torres            67      Poliza vencida   190 dias vencida
Claudia Reyes Garcia          41      Poliza vencida   919 dias vencida
Lucia Garcia Ortiz            24      Poliza vigente   148 dias para vencer
Patricia Silva Jimenez        73      Poliza vigente   329 dias para vencer
Elena Cruz Perez              51      Poliza vigente   125 dias para vencer
Teresa Vega Lopez             36      Poliza vigente   291 dias para vencer
Claudia Castillo Ortiz        67      Poliza vigente   1013 dias para vencer
Maria Mendoza Rodriguez       67      Poliza vencida   9 dias vencida
Luis Ruiz Medina              19      Poliza vigente   631 dias para vencer
Miguel Rodriguez Garcia       44      Poliza vencida   85 dias vencida
Carlos Herrera Diaz           62      Poliza vencida   596 dias vencida
Silvia Herrera Ramirez        65      Poliza vencida   662 dias vencida
Teresa Ortiz Torres           47      Poliza vigente   556 dias para vencer
Pedro Nunez Castillo          62      Poliza vigente   186 dias para vencer
Monica Sanchez Rojas          31      Poliza vigente   696 dias para vencer
Alberto Sanchez Jimenez       67      Poliza vigente   352 dias para vencer
Sofia Perez Rojas             25      Poliza vencida   64 dias vencida
Sofia Morales Chavez          50      Poliza vencida   375 dias vencida
Ana Rojas Perez               61      Poliza vigente   4 dias para vencer
Victor Nunez Gonzalez         22      Poliza vencida   365 dias vencida
Patricia Rodriguez Gomez      44      Poliza vencida   233 dias vencida
Juan Medina Chavez            70      Poliza vencida   93 dias vencida
Ricardo Sanchez Reyes         37      Poliza vigente   487 dias para vencer
Maria Gonzalez Herrera        22      Poliza vigente   461 dias para vencer
Sofia Medina Vargas           32      Poliza vencida   595 dias vencida
Diego Morales Diaz            47      Poliza vigente   457 dias para vencer
Claudia Lopez Garcia          42      Poliza vencida   708 dias vencida
Juan Vega Silva               69      Poliza vencida   621 dias vencida
Lucia Castillo Chavez         45      Poliza vencida   1152 dias vencida
Jorge Diaz Cruz               54      Poliza vencida   679 dias vencida
Luis Jimenez Nunez            50      Poliza vencida   1428 dias vencida
Ana Castillo Chavez           35      Poliza vigente   342 dias para vencer
Ricardo Vargas Chavez         18      Poliza vigente   718 dias para vencer
Alberto Ramirez Rojas         48      Poliza vencida   97 dias vencida
Patricia Sanchez Gonzalez     71      Poliza vencida   710 dias vencida
Raul Chavez Mendoza           66      Poliza vigente   239 dias para vencer
Pedro Torres Sanchez          18      Poliza vencida   36 dias vencida
Pedro Rivera Cruz             65      Poliza vencida   238 dias vencida
Miguel Ortiz Diaz             29      Poliza vigente   130 dias para vencer
Fernando Herrera Sanchez      61      Poliza vigente   607 dias para vencer
Juan Rodriguez Aguilar        24      Poliza vencida   83 dias vencida
Miguel Gonzalez Martinez      43      Poliza vencida   905 dias vencida
Valeria Ortiz Herrera         23      Poliza vencida   39 dias vencida
Patricia Ruiz Vargas          47      Poliza vigente   706 dias para vencer
Luis Garcia Rodriguez         64      Poliza vencida   478 dias vencida
Jose Rojas Rojas              29      Poliza vigente   30 dias para vencer
Carlos Rodriguez Martinez     59      Poliza vencida   1331 dias vencida
Maria Ortiz Gonzalez          69      Poliza vigente   161 dias para vencer
Elena Herrera Mendoza         27      Poliza vencida   711 dias vencida
Valeria Mendoza Rivera        27      Poliza vigente   352 dias para vencer
Carmen Perez Vega             63      Poliza vencida   195 dias vencida
Silvia Ortiz Jimenez          64      Poliza vigente   265 dias para vencer
Pedro Aguilar Mendoza         64      Poliza vencida   1101 dias vencida
Lucia Medina Vargas           49      Poliza vencida   17 dias vencida
Pedro Herrera Torres          45      Poliza vencida   1173 dias vencida
Monica Perez Cruz             19      Poliza vencida   613 dias vencida
Ricardo Sanchez Perez         66      Poliza vigente   473 dias para vencer
Pedro Torres Herrera          70      Poliza vencida   372 dias vencida
Alberto Ramirez Gomez         32      Poliza vencida   791 dias vencida
Miguel Rodriguez Silva        34      Poliza vencida   1075 dias vencida
Beatriz Lopez Vega            29      Poliza vigente   175 dias para vencer
Carlos Garcia Gomez           31      Poliza vencida   72 dias vencida
Maria Lopez Reyes             55      Poliza vencida   78 dias vencida
Victor Aguilar Rojas          32      Poliza vencida   43 dias vencida
Raul Castillo Rodriguez       18      Poliza vigente   516 dias para vencer
Carmen Nunez Ramirez          42      Poliza vencida   1117 dias vencida
Miguel Vega Sanchez           19      Poliza vigente   1019 dias para vencer
Ricardo Gonzalez Silva        20      Poliza vencida   1176 dias vencida
Pedro Torres Vega             37      Poliza vigente   75 dias para vencer
Beatriz Medina Rivera         43      Poliza vencida   1303 dias vencida
Silvia Lopez Morales          23      Poliza vencida   552 dias vencida
Manuel Morales Gomez          69      Poliza vigente   144 dias para vencer
Beatriz Mendoza Silva         72      Poliza vencida   718 dias vencida
Manuel Ruiz Morales           44      Poliza vencida   563 dias vencida
Carmen Reyes Castillo         68      Poliza vigente   281 dias para vencer
Diego Ortiz Aguilar           48      Poliza vencida   438 dias vencida
Alberto Castillo Silva        47      Poliza vencida   511 dias vencida
Raul Vargas Nunez             38      Poliza vigente   377 dias para vencer
Rosa Reyes Rivera             41      Poliza vigente   937 dias para vencer
Jorge Garcia Rojas            69      Poliza vencida   164 dias vencida
Rosa Vega Silva               38      Poliza vigente   836 dias para vencer
Lucia Gomez Gonzalez          35      Poliza vigente   575 dias para vencer
Teresa Sanchez Ortiz          65      Poliza vencida   1493 dias vencida
Victor Chavez Medina          38      Poliza vencida   119 dias vencida
Claudia Mendoza Cruz          70      Poliza vencida   944 dias vencida
Victor Torres Cruz            31      Poliza vencida   649 dias vencida
Gabriela Reyes Morales        18      Poliza vencida   275 dias vencida
Carmen Cruz Torres            41      Poliza vencida   1161 dias vencida
Victor Herrera Diaz           30      Poliza vigente   63 dias para vencer
Ricardo Gonzalez Castillo     40      Poliza vencida   366 dias vencida
Andres Martinez Diaz          71      Poliza vigente   87 dias para vencer
Diego Aguilar Flores          57      Poliza vencida   471 dias vencida
Teresa Herrera Morales        24      Poliza vigente   714 dias para vencer
Jose Diaz Chavez              20      Poliza vencida   624 dias vencida
Maria Rojas Perez             35      Poliza vencida   430 dias vencida
Juan Diaz Chavez              30      Poliza vencida   152 dias vencida
Elena Diaz Ruiz               43      Poliza vencida   383 dias vencida
Carmen Cruz Ruiz              75      Poliza vigente   285 dias para vencer
Juan Ruiz Flores              45      Poliza vencida   112 dias vencida
Rosa Mendoza Chavez           53      Poliza vigente   49 dias para vencer
Pedro Vargas Torres           24      Poliza vencida   128 dias vencida
Claudia Silva Vargas          45      Poliza vigente   120 dias para vencer
Patricia Reyes Aguilar        21      Poliza vigente   429 dias para vencer
Ana Medina Ortiz              41      Poliza vencida   964 dias vencida
Miguel Herrera Ruiz           47      Poliza vencida   660 dias vencida
Patricia Medina Diaz          72      Poliza vencida   247 dias vencida
Victor Flores Diaz            51      Poliza vigente   206 dias para vencer
Teresa Nunez Rivera           57      Poliza vigente   206 dias para vencer
Silvia Ramirez Lopez          70      Poliza vigente   1000 dias para vencer
Miguel Chavez Gomez           66      Poliza vigente   119 dias para vencer
Jorge Mendoza Castillo        72      Poliza vencida   111 dias vencida
Patricia Diaz Flores          55      Poliza vencida   801 dias vencida
Monica Martinez Mendoza       23      Poliza vencida   17 dias vencida
Diego Martinez Garcia         61      Poliza vencida   459 dias vencida
Pedro Ramirez Ramirez         30      Poliza vencida   400 dias vencida
Jose Aguilar Jimenez          69      Poliza vigente   209 dias para vencer
Luis Vargas Gonzalez          59      Poliza vencida   235 dias vencida
Victor Ramirez Diaz           25      Poliza vencida   613 dias vencida
Jorge Reyes Rodriguez         67      Poliza vigente   496 dias para vencer
Jorge Diaz Ruiz               44      Poliza vencida   94 dias vencida
Andres Medina Chavez          65      Poliza vencida   187 dias vencida
Claudia Ortiz Cruz            50      Poliza vencida   399 dias vencida
Elena Silva Gomez             50      Poliza vencida   551 dias vencida
Silvia Castillo Cruz          29      Poliza vencida   446 dias vencida
Manuel Reyes Chavez           34      Poliza vigente   10 dias para vencer
Jose Rivera Flores            55      Poliza vencida   187 dias vencida
Carlos Torres Medina          30      Poliza vigente   62 dias para vencer
Gabriela Medina Silva         33      Poliza vigente   1032 dias para vencer
Lucia Diaz Rivera             54      Poliza vigente   270 dias para vencer
Valeria Cruz Rojas            31      Poliza vencida   461 dias vencida
Valeria Castillo Gonzalez     51      Poliza vencida   123 dias vencida
Rosa Garcia Lopez             19      Poliza vigente   149 dias para vencer
Fernando Flores Rivera        72      Poliza vencida   6 dias vencida
Claudia Nunez Sanchez         65      Poliza vencida   645 dias vencida
Carlos Medina Aguilar         30      Poliza vigente   71 dias para vencer
Teresa Martinez Morales       27      Poliza vigente   310 dias para vencer
Jose Reyes Garcia             28      Poliza vencida   150 dias vencida
Diego Medina Rodriguez        38      Poliza vencida   1371 dias vencida
